symbol,group
AAPL,magnificent_seven
AMZN,magnificent_seven
GOOGL,magnificent_seven
META,magnificent_seven
MSFT,magnificent_seven
NVDA,magnificent_seven
TSLA,magnificent_seven
TMUS,nasdaq_100
NXPI,nasdaq_100
BKR,nasdaq_100
XEL,nasdaq_100
GOOG,nasdaq_100
TXN,nasdaq_100
DXCM,nasdaq_100
KLAC,nasdaq_100
ROP,nasdaq_100
LITE,nasdaq_100
VRTX,sp500_ex_nasdaq100
ZBH,sp500_ex_nasdaq100
RSG,sp500_ex_nasdaq100
APA,sp500_ex_nasdaq100
DTE,sp500_ex_nasdaq100
AEE,sp500_ex_nasdaq100
STT,sp500_ex_nasdaq100
PODD,sp500_ex_nasdaq100
FISV,sp500_ex_nasdaq100
WMB,sp500_ex_nasdaq100
TER,sp500_ex_nasdaq100
ITW,sp500_ex_nasdaq100
COHR,sp500_ex_nasdaq100
HCA,sp500_ex_nasdaq100
ARES,sp500_ex_nasdaq100
EL,sp500_ex_nasdaq100
IBKR,sp500_ex_nasdaq100
CSX,sp500_ex_nasdaq100
OKE,sp500_ex_nasdaq100
EXC,sp500_ex_nasdaq100
CNP,sp500_ex_nasdaq100
PSX,sp500_ex_nasdaq100
SCHW,sp500_ex_nasdaq100
BMY,sp500_ex_nasdaq100
ADSK,sp500_ex_nasdaq100
HPE,sp500_ex_nasdaq100
ROL,sp500_ex_nasdaq100
ABT,sp500_ex_nasdaq100
LYB,sp500_ex_nasdaq100
ORCL,sp500_ex_nasdaq100
HAL,sp500_ex_nasdaq100
OXY,sp500_ex_nasdaq100
APH,sp500_ex_nasdaq100
AMT,sp500_ex_nasdaq100
HBAN,sp500_ex_nasdaq100
A,sp500_ex_nasdaq100
COP,sp500_ex_nasdaq100
AKAM,sp500_ex_nasdaq100
WELL,sp500_ex_nasdaq100
SYK,sp500_ex_nasdaq100
AMD,sp500_ex_nasdaq100
ED,sp500_ex_nasdaq100
FCX,sp500_ex_nasdaq100
SJM,sp500_ex_nasdaq100
HD,sp500_ex_nasdaq100
PFG,sp500_ex_nasdaq100
MLM,sp500_ex_nasdaq100
VRSN,sp500_ex_nasdaq100
RJF,sp500_ex_nasdaq100
PNR,sp500_ex_nasdaq100
EVC,outside_major_indices
KIDS,outside_major_indices
NTGR,outside_major_indices
CBAN,outside_major_indices
GRC,outside_major_indices
REX,outside_major_indices
KBH,outside_major_indices
RRX,outside_major_indices
INSW,outside_major_indices
ENSG,outside_major_indices
VTSI,outside_major_indices
AEYE,outside_major_indices
OPLN,outside_major_indices
KXIN,outside_major_indices
NTLA,outside_major_indices
OEC,outside_major_indices
GCV,outside_major_indices
EDUC,outside_major_indices
CRNT,outside_major_indices
ATKR,outside_major_indices
EHI,outside_major_indices
OXBR,outside_major_indices
EAT,outside_major_indices
NWN,outside_major_indices
OXSQ,outside_major_indices
CAPS,outside_major_indices
VHC,outside_major_indices
PRIM,outside_major_indices
KRC,outside_major_indices
PBR,outside_major_indices
PSIX,outside_major_indices
NSP,outside_major_indices
RRR,outside_major_indices
AREC,outside_major_indices
BWEN,outside_major_indices
EVF,outside_major_indices
DXPE,outside_major_indices
GNE,outside_major_indices
EMO,outside_major_indices
BPOP,outside_major_indices
DCOY,outside_major_indices
KRO,outside_major_indices
CALM,outside_major_indices
GRBK,outside_major_indices
BOOM,outside_major_indices
MATX,outside_major_indices
USIO,outside_major_indices
BSAC,outside_major_indices
OXLC,outside_major_indices
TPCS,outside_major_indices
PHIO,outside_major_indices
HUBS,outside_major_indices
PJT,outside_major_indices
CEE,outside_major_indices
BIO-B,outside_major_indices
POET,outside_major_indices
NMT,outside_major_indices
AMSC,outside_major_indices
NVEC,outside_major_indices
XTIA,outside_major_indices
SNGX,outside_major_indices
IMKTA,outside_major_indices
DNLI,outside_major_indices
CCLD,outside_major_indices
MGRC,outside_major_indices
SSBI,outside_major_indices
MDGL,outside_major_indices
FBIN,outside_major_indices
HLF,outside_major_indices
COCP,outside_major_indices
AEO,outside_major_indices
LPG,outside_major_indices
CXW,outside_major_indices
HAE,outside_major_indices
HIO,outside_major_indices
TSLX,outside_major_indices
BSEM,outside_major_indices
RC,outside_major_indices
WATT,outside_major_indices
KNOP,outside_major_indices
OSUR,outside_major_indices
NEPH,outside_major_indices
NCA,outside_major_indices
PBH,outside_major_indices
MUR,outside_major_indices
JYNT,outside_major_indices
EDD,outside_major_indices
CLDX,outside_major_indices
LSCC,outside_major_indices
FUL,outside_major_indices
CRS,outside_major_indices
VICR,outside_major_indices
DAN,outside_major_indices
LILA,outside_major_indices
RMT,outside_major_indices
CENN,outside_major_indices
NAC,outside_major_indices
BIP,outside_major_indices
P,outside_major_indices
MNOV,outside_major_indices
